code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.09,Sample processing,Performs sample processing procedures for routine chemical examinations,Performs sample processing for complex chemical examinations,Instructs staff on sample pro- cessing for routine and complex chemical examinations,Develops policies  processes and procedures regarding sample pro- cessing for routine and complex chemical examinations,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.10,Pre-examination sample storage and handling,Performs procedures for sample storage and handling prior to examination,Explains procedures for sample storage and handling prior to examination,Manages processes and proce- dures for sample storage and handling prior to examination,Designs policies  processes and procedures regarding sample storage and handling prior to examination,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.11,Epidemiologic collaboration,Describes which chemical examination requests require epidemiologic notification and consultation,Reports to epidemiologists when chemical examination requests warrant notification,Manages the policies  processes and procedures for notification and consultation with epidemiol- ogists regarding chemical exam- ination requests,Designs policies  processes and procedures regarding notification and consultation with epidemiol- ogists regarding chemical exam- ination requests,N/A
CHM,1,4,Examination competencies ensure performance of chemistry examination procedures.,4.01,Examination,Performs chemistry examination procedures,Explains chemistry examination procedures,Monitors staff compliance with chemistry examination policies  processes and procedures,Oversees chemistry examination policies  processes and procedures,N/A
CHM,1,4,Examination competencies ensure performance of chemistry examination procedures.,4.02,Chemical extractions,Performs routine chemical extraction methods,Performs non-routine chemical extractions,Selects chemical extractions for an identified purpose,Develops new and improved types of chemical extractions,N/A
CHM,1,4,Examination competencies ensure performance of chemistry examination procedures.,4.03,Quality control (QC) analysis,Performs QC activities,Interprets QC data prior to report- ing results,Examines QC data over time to establish QC ranges and limits,Ensures the QC program adheres to regulatory requirements,N/A
CHM,1,4,Examination competencies ensure performance of chemistry examination procedures.,4.04,Equipment troubleshooting,Identifies basic laboratory equip- ment problems,Performs routine equipment maintenance and minor repairs,Monitors equipment functioning over lifecycle and coordinates non-routine maintenance  complex repairs,Develops equipment troubleshoot- ing processes and procedures and plans for equipment retirement and replacement,N/A
CHM,1,4,Examination competencies ensure performance of chemistry examination procedures.,4.05,Sample storage and handling after examination,Performs procedures for sample storage and handling after examination,Explains procedures for sample storage and handling after examination,Manages processes and proce- dures for sample storage and handling after examination,Designs policies  processes and procedures for sample storage and handling after examination,N/A
CHM,1,5,Post-examination competencies ensure performance of chemistry post-examination procedures.,5.01,QC evaluation,Assembles QC data for evaluation,Evaluates QC data for a given data reporting period,Ensures staff compliance with established policies  processes and procedures for QC evaluation activities,Oversees the policies  processes and procedures related to QC evaluation activities,N/A
CHM,1,5,Post-examination competencies ensure performance of chemistry post-examination procedures.,5.02,Test analysis and results interpretation,Assembles test data for review and action,Analyzes test data,Interprets complex or ambiguous results,Oversees the policies  processes  procedures  and algorithms related to data analysis and results interpretation,N/A
CHM,1,5,Post-examination competencies ensure performance of chemistry post-examination procedures.,5.03,Results reporting and data release,Adheres to policies  processes and procedures related to report- ing and release of examination results and notifiable results,Explains policies  processes and procedures related to report- ing and release of examination results and notifiable results,Ensures staff compliance with pol- icies  processes and procedures related to reporting and release of examination results and notifi- able results,Oversees the policies  processes and procedures  related to report- ing and release of examination results and notifiable results to partners,N/A
CHM,1,5,Post-examination competencies ensure performance of chemistry post-examination procedures.,5.04,Quality assurance (QA),Explains the differences between QA and QC,Collects data for reporting on QA indicators,Evaluates QA indicator data,Oversees the policies  processes and procedures related to QA,N/A
CHM,1,6,Compliance competencies ensure compliance with national or international standards or guidelines.,6.01,Nonconforming event (NCE) tracking,Recognizes NCEs in laboratory processes,Documents NCEs on discovery for implementation of corrective actions,Analyzes NCEs for corrective actions and documentation,Designs a management system for NCEs,N/A
CHM,1,6,Compliance competencies ensure compliance with national or international standards or guidelines.,6.02,Proficiency testing (PT) and alternative assessment,Performs PT and alternative assessment,Reviews PT and alternative assessment results,Monitors to ensure the PT and alternative assessment program meets regulatory requirements,Oversees the policies  processes and procedures related to PT and alternative assessments,N/A
CHM,1,6,Compliance competencies ensure compliance with national or international standards or guidelines.,6.03,Method validation and performance verification,Participates in performance of method validation and perfor- mance verification,Compiles results of method valida- tion and performance verification,Evaluates method validation and performance verification results,Oversees the policies  processes and procedures related to method validation and performance verification,N/A
CHM,1,6,Compliance competencies ensure compliance with national or international standards or guidelines.,6.04,Development and validation of laboratory- developed tests (LDTs),Participates in the development of LDTs,Evaluates LDT validation data,Creates processes and procedures for the development and valida- tion of LDTs,Oversees the policies  processes and procedures regarding the development and validation of LDTs,N/A
