code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
GEN,1,3,Equipment use competencies ensure adherence to policies and principles regarding the use  maintenance  and calibration of laboratory equipment.,3.02,Equipment maintenance,Performs routine system checks and maintenance,Explains procedures to ensure equipment function,Determines need for repair or replacement of laboratory equipment,Oversees the policies  processes and procedures for the mainte- nance  repair and replacement of laboratory equipment,N/A
GEN,1,3,Equipment use competencies ensure adherence to policies and principles regarding the use  maintenance  and calibration of laboratory equipment.,3.03,Instrument and equipment calibration,Performs calibration of routine instruments and equipment,Performs calibration of complex instruments and equipment,Develops processes and proce- dures for calibration of instru- ments and equipment,Oversees the policies  processes and procedures for calibration of instruments and equipment,N/A
GEN,1,3,Equipment use competencies ensure adherence to policies and principles regarding the use  maintenance  and calibration of laboratory equipment.,3.04,Preventive maintenance and calibration records,Documents maintenance and calibration activities,Inspects preventive maintenance and calibrations records for completeness,Evaluates the preventive mainte- nance and calibration records,Oversees the preventive mainte- nance and calibration program,N/A
GEN,1,4,Pre-examination competencies ensure steps in the pre-examination phase of testing are performed.,4.01,Sample management,Follows policies  processes and procedures for the management of samples,Explains policies  processes and procedures for sample management,Monitors staff compliance with established sample manage- ment policies  processes and procedures,Oversees sample manage- ment policies  processes and procedures,N/A
GEN,1,5,Examination competencies ensure steps in the examination phase of testing are performed.,5.01,Sample analyses,Performs sample analyses,Explains sample analyses,Ensures staff compliance with policies  processes and proce- dures for sample analyses,Oversees the policies  processes and procedures related to sample analyses,N/A
GEN,1,5,Examination competencies ensure steps in the examination phase of testing are performed.,5.02,Testing workflow,Adheres to policies  processes and procedures for testing workflow,Explains policies  processes and procedures regarding testing workflow,Ensures staff compliance in following established testing workflow,Oversees the policies  processes and procedures that optimize and improve testing workflow,N/A
GEN,1,5,Examination competencies ensure steps in the examination phase of testing are performed.,5.03,Quality control (QC) analysis,Performs QC activities,Interprets QC data prior to report- ing results,Examines QC data over time to establish QC ranges and limits,Oversees the policies  pro- cesses and procedures related to QC activities  including staff compliance,N/A
GEN,1,6,Post-examination competencies ensure steps in the post-examination phase of testing are performed.,6.01,QC evaluation,Assembles QC data for evaluation,Evaluates QC data for a given data reporting period,Ensures staff compliance with established policies  processes and procedures for QC evaluation activities,Oversees the policies  processes and procedures related to QC evaluation activities,N/A
GEN,1,6,Post-examination competencies ensure steps in the post-examination phase of testing are performed.,6.02,Test analysis and results interpretation,Assembles test data for review and action,Analyzes test data,Interprets complex or ambiguous results,Oversees the policies  processes  procedures  and algorithms related to data analysis and results interpretation,N/A
GEN,1,6,Post-examination competencies ensure steps in the post-examination phase of testing are performed.,6.03,Results reporting and data release,Adheres to policies  processes and procedures related to report- ing and release of examination results and notifiable results,Explains the policies  processes and procedures related to report- ing and release of examination results and notifiable results,Ensures staff compliance with policies  processes and proce- dures related to reporting and release of examination results and notifiable results,Oversees the policies  processes and procedures related to report- ing and release of examination results and notifiable results to partners,N/A
GEN,1,6,Post-examination competencies ensure steps in the post-examination phase of testing are performed.,6.04,Turnaround time (TAT),Performs laboratory testing and reporting within specified or expected TAT,Monitors TAT performance,Identifies process efficiencies to improve TAT,Oversees the policies  processes and procedures related to TAT,N/A
GEN,1,6,Post-examination competencies ensure steps in the post-examination phase of testing are performed.,6.05,Quality assurance (QA),Explains the differences between QA and QC,Collects data for reporting on QA indicators and processes,Evaluates QA indicator data,Oversees the policies  processes and procedures related to QA,N/A
GEN,1,7,Regulatory compliance competencies ensure compliance with regulations and guidelines governing laboratory testing.,7.01,Regulatory compliance,Complies with regulatory require- ments and guidelines related to laboratory testing,Explains regulatory requirements and guidelines related to labora- tory testing,Ensures staff compliance with regulatory requirements and guidelines related to laboratory testing,Oversees the policies  processes and procedures regarding regula- tory requirements and guidelines related to laboratory testing,N/A
GEN,1,7,Regulatory compliance competencies ensure compliance with regulations and guidelines governing laboratory testing.,7.02,Proficiency testing (PT) and alternative assessment,Performs PT and alternative assessment,Reviews PT and alternative assessment results,Monitors to ensure the PT and alternative assessment program meets regulatory requirements,Oversees the policies  processes and procedures related to PT and alternative assessments,N/A
GEN,1,7,Regulatory compliance competencies ensure compliance with regulations and guidelines governing laboratory testing.,7.03,PT and alternative assessment reporting,Reports PT and alternative assessment,Reviews submissions of PT and alternative assessment results,Ensures staff compliance with reporting of PT and alternative assessment results,Oversees the policies  processes and procedures related to PT and alternative assessment reporting,N/A
GEN,1,7,Regulatory compliance competencies ensure compliance with regulations and guidelines governing laboratory testing.,7.04,Method validation and performance verification,Participates in performance of method validation and perfor- mance verification,Compiles results of method validation and performance verification,Evaluates method validation and performance verification results,Oversees the policies  processes and procedures related to method validation and perfor- mance verification,N/A
GEN,1,7,Regulatory compliance competencies ensure compliance with regulations and guidelines governing laboratory testing.,7.05,Protected information,Complies with policies  pro- cesses and procedures regarding protected information,Explains policies  processes and procedures regarding protected information,Ensures staff compliance with policies  processes and pro- cedures regarding protected information,Oversees that organizational pol- icies  processes and procedures related to protected information align with laws and regulatory requirements and guidelines,N/A
